id,duration,codec,width,height,bitrate,category,framerate,i,p,b,frames,i_size,p_size,b_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,umem
12001,80.536,h264,480,360,690041,Gaming,29,43,2374,0,2417,618732,6327913,0,6946645,mpeg4,3000000,29.97,1280,720,219480
12002,458.625,h264,640,480,517364,Comedy,29,245,13501,0,13746,5308581,24350943,0,29659524,h264,5000000,29.97,480,360,216820
12003,452.689,vp8,320,240,66680,Science & Technology,5.7057524,42,2537,0,2579,207037,3566163,0,3773200,vp8,539000,15,1280,720,248092
12004,368.32,vp8,640,480,29096,Music,25.02174,74,9134,0,9208,869558,470067,0,1339625,mpeg4,3000000,29.97,1920,1080,221152
12005,39.055,h264,1920,1080,5992818,Gaming,30,26,1144,0,1170,839251,28416939,0,29256190,vp8,5000000,15,480,360,216020
12006,448.575,vp8,1280,720,2052426,Autos & Vehicles,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,vp8,3000000,24,640,480,217080
12007,326.58832,h264,1920,1080,5999648,Music,23,174,7656,0,7830,16603953,228322925,0,244926878,mpeg4,109000,25,1920,1080,218932
12008,130.35667,mpeg4,176,144,54590,Film & Animation,12,27,1537,0,1564,64483,825054,0,889537,vp8,3000000,29.97,1280,720,45800
12009,225.08,h264,480,360,538452,Entertainment,25,113,5515,0,5628,1873408,13275961,0,15149369,h264,56000,12,1920,1080,648420
12010,130.35667,mpeg4,176,144,54590,People & Blogs,12,27,1537,0,1564,64483,825054,0,889537,vp8,539000,24,1280,720,45080
12011,581.233,h264,480,360,295979,Comedy,30,310,17128,0,17438,10151572,11352574,0,21504146,h264,56000,25,1280,720,322844
12012,239.14166,h264,480,360,500198,People & Blogs,25,110,5868,0,5978,1406751,13545526,0,14952277,vp8,242000,25,1920,1080,99948
12013,127.221664,h264,1920,1080,3080852,Comedy,23,70,2980,0,3050,3818903,45174992,0,48993895,h264,539000,15,320,240,217544
12014,67.583336,mpeg4,176,144,51225,People & Blogs,12,15,777,0,792,47585,385164,0,432749,h264,5000000,12,1280,720,312552
12015,204.938,h264,480,360,297373,People & Blogs,16,111,3169,0,3280,1451634,6166260,0,7617894,mpeg4,56000,24,1920,1080,114048
12016,63.667,h264,640,480,972572,News & Politics,15,33,923,0,956,1259657,6480438,0,7740095,h264,820000,15,640,480,219656
12017,448.575,vp8,1280,720,2052426,Education,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,mpeg4,820000,25,1920,1080,217080
12018,33.09,h264,320,240,279173,Science & Technology,13,22,434,0,456,101794,1052937,0,1154731,vp8,109000,29.97,1280,720,219480
12019,130.35667,mpeg4,176,144,54590,Film & Animation,12,27,1537,0,1564,64483,825054,0,889537,h264,820000,12,1280,720,311248
12020,59.883,vp8,1280,720,994960,Comedy,30.38983,13,1780,0,1793,481774,6965881,0,7447655,vp8,3000000,25,1920,1080,155928
12021,39.055,h264,1920,1080,5992818,Music,30,26,1144,0,1170,839251,28416939,0,29256190,mpeg4,5000000,25,1280,720,215848
12022,39.055,h264,1920,1080,5992818,Gaming,30,26,1144,0,1170,839251,28416939,0,29256190,mpeg4,539000,24,640,480,215848
12023,270.655,vp8,640,480,652967,People & Blogs,30.062963,89,8028,0,8117,1912240,20178890,0,22091130,vp8,539000,15,1920,1080,219480
12024,157.80167,h264,1280,720,2885589,Music,25,72,3873,0,3945,5611970,51306874,0,56918844,h264,5000000,24,1280,720,351704
12025,216.55,h264,320,240,291150,People & Blogs,29,112,6379,0,6491,1789334,6091735,0,7881069,h264,56000,29.97,1280,720,317124
12026,239.14166,h264,480,360,500198,Music,25,110,5868,0,5978,1406751,13545526,0,14952277,h264,109000,25,1920,1080,676144
