id,duration,codec,width,height,bitrate,category,framerate,i,p,b,frames,i_size,p_size,b_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,umem,utime
1,645.84,vp8,320,240,95903,People & Blogs,25.032558,138,16008,0,16146,1081321,6660941,0,7742262,vp8,109000,29.97,1280,720,218932,15.929
2,326.58832,h264,1920,1080,5999648,People & Blogs,23,174,7656,0,7830,16603953,228322925,0,244926878,flv,820000,29.97,1920,1080,218932,10.417
3,473,h264,320,240,164017,Sports,25,198,10924,704,11826,1419320,8047423,0,9697521,h264,242000,24,1920,1080,645544,45.327
4,448.575,vp8,1280,720,2052426,Gaming,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,h264,3000000,15,1920,1080,655172,102.842
5,255.28,flv,320,240,250276,Music,25,110,6272,0,6382,611474,7374864,0,7986338,mpeg4,820000,25,1920,1080,216820,14.937
6,458.625,h264,640,480,517364,Entertainment,29,245,13501,0,13746,5308581,24350943,0,29659524,h264,5000000,12,1280,720,343060,25.13
7,33.09,h264,320,240,279173,Film & Animation,13,22,434,0,456,101794,1052937,0,1154731,mpeg4,539000,29.97,1280,720,219480,10.861
8,52.68,h264,480,360,372001,Gaming,25,53,1265,0,1318,870136,1579497,0,2449633,vp8,539000,15,1920,1080,140080,26.922
9,255.28,flv,320,240,250276,Entertainment,25,110,6272,0,6382,611474,7374864,0,7986338,h264,5000000,24,1920,1080,642556,160.17
10,273.816,vp8,1920,1080,1571003,Gaming,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,5000000,12,1280,720,353308,53.571
11,581.233,h264,480,360,295979,Howto & Style,30,310,17128,0,17438,10151572,11352574,0,21504146,vp8,109000,15,1920,1080,218932,20.697
12,80.536,h264,480,360,690041,People & Blogs,29,43,2374,0,2417,618732,6327913,0,6946645,h264,242000,24,640,480,219480,16.905
13,250.017,h264,320,240,153059,People & Blogs,29,128,7366,0,7494,856855,3926589,0,4783444,h264,5000000,25,1920,1080,643900,130.016
14,304.927,vp8,320,240,134334,Gaming,25.075659,82,7541,0,7623,833754,4286526,0,5120280,mpeg4,242000,29.97,1920,1080,216820,15.161
15,368.32,vp8,640,480,29096,People & Blogs,25.02174,74,9134,0,9208,869558,470067,0,1339625,vp8,539000,25,1920,1080,221152,28.462
16,163.897,flv,320,240,267032,Sports,29,87,4826,0,4913,824159,4646573,0,5470732,h264,3000000,24,1920,1080,630264,105.551
17,384.451,h264,640,480,646432,News & Politics,29,205,11318,0,11523,2839955,28225248,0,31065203,h264,820000,12,1280,720,340428,27.41
18,274.541,vp8,480,360,139791,Music,30.029198,58,8170,0,8228,802625,3994697,0,4797322,h264,5000000,29.97,480,360,216820,14.713
19,98.683334,mpeg4,176,144,55552,Shows,12,20,1164,0,1184,48267,636993,0,685260,vp8,5000000,12,1920,1080,217880,16.109
20,385.052,vp8,1280,720,441862,Comedy,23.979221,77,9155,0,9232,16244376,5023129,0,21267505,h264,242000,29.97,1920,1080,641284,46.727
21,80.536,h264,480,360,690041,Music,29,43,2374,0,2417,618732,6327913,0,6946645,vp8,56000,12,1920,1080,219480,25.714
22,304.927,vp8,320,240,134334,Entertainment,25.075659,82,7541,0,7623,833754,4286526,0,5120280,vp8,109000,12,1920,1080,216820,17.493
23,326.58832,h264,1920,1080,5999648,Music,23,174,7656,0,7830,16603953,228322925,0,244926878,mpeg4,3000000,29.97,640,480,218932,10.361
24,282.56,h264,640,480,559834,Music,25,145,6920,0,7065,4966509,14806840,0,19773349,vp8,56000,25,1280,720,221152,14.189
25,326.58832,h264,1920,1080,5999648,People & Blogs,23,174,7656,0,7830,16603953,228322925,0,244926878,h264,5000000,29.97,480,360,218932,35.854
26,255.28,flv,320,240,250276,Gaming,25,110,6272,0,6382,611474,7374864,0,7986338,h264,109000,24,1280,720,309800,21.425
27,256.20834,mpeg4,176,144,57565,News & Politics,12,56,3018,0,3074,302900,1540700,0,1843600,h264,109000,25,1280,720,323292,17.397
28,42.2,h264,480,360,288705,People & Blogs,25,23,1033,0,1056,216154,1306770,0,1522924,vp8,3000000,24,1280,720,216820,16.673
29,203.198,flv,320,240,239336,Entertainment,29,104,5974,0,6078,853613,5225468,0,6079081,h264,3000000,15,640,480,221160,19.329
30,98.683334,mpeg4,176,144,55552,Travel & Events,12,20,1164,0,1184,48267,636993,0,685260,mpeg4,539000,25,1920,1080,217852,12.461
31,292.092,h264,480,360,480125,People & Blogs,29,156,8599,0,8755,2375028,15155062,0,17530090,mpeg4,820000,25,1280,720,219480,10.341
32,340.424,flv,320,240,244491,Howto & Style,11,69,4012,0,4081,1168939,9234909,0,10403848,mpeg4,820000,25,1920,1080,221152,12.693
33,143.03334,mpeg4,176,144,51082,News & Politics,12,31,1685,0,1716,56405,856907,0,913312,vp8,820000,29.97,1920,1080,219480,21.241
34,448.575,vp8,1280,720,2052426,Entertainment,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,h264,5000000,25,1920,1080,655240,171.635
35,67.583336,mpeg4,176,144,51225,People & Blogs,12,15,777,0,792,47585,385164,0,432749,mpeg4,539000,25,1920,1080,219480,11.301
36,273.816,vp8,1920,1080,1571003,Autos & Vehicles,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,vp8,820000,25,1280,720,219656,24.274
37,203.198,flv,320,240,239336,Music,29,104,5974,0,6078,853613,5225468,0,6079081,h264,539000,25,1280,720,299516,33.758
38,77.233,h264,480,360,382461,Entertainment,30,53,2265,0,2318,182297,3510033,0,3692330,mpeg4,5000000,29.97,1920,1080,219480,17.589
39,167.39166,h264,1280,720,2207484,Pets & Animals,24,86,3931,0,4017,4369420,41819887,0,46189307,vp8,3000000,29.97,1280,720,219656,31.662
40,37.011665,h264,1280,720,2759449,Entertainment,29,21,1088,0,1109,1899633,10866846,0,12766479,vp8,5000000,12,1920,1080,219480,51.807
41,239.14166,h264,480,360,500198,Music,25,110,5868,0,5978,1406751,13545526,0,14952277,h264,242000,12,640,480,149408,10.561
42,379.32,h264,480,360,181960,Comedy,25,195,9289,0,9484,3392479,5235193,0,8627672,vp8,242000,29.97,1280,720,219480,15.201
43,107.443,vp8,480,360,320011,People & Blogs,30.093458,30,3190,0,3220,671936,3625932,0,4297868,h264,242000,25,640,480,216820,12.901
44,39.055,h264,1920,1080,5992818,Gaming,30,26,1144,0,1170,839251,28416939,0,29256190,vp8,109000,24,320,240,215848,10.669
45,426.945,h264,1280,720,1064703,Music,29,228,12567,0,12795,11297544,45523691,0,56821235,h264,3000000,29.97,1280,720,335576,65.108
46,458.625,h264,640,480,517364,Pets & Animals,29,245,13501,0,13746,5308581,24350943,0,29659524,mpeg4,5000000,24,1920,1080,216820,12.029
47,292.092,h264,480,360,480125,News & Politics,29,156,8599,0,8755,2375028,15155062,0,17530090,vp8,3000000,29.97,480,360,219480,10.633
48,254.922,vp8,480,360,260667,Entertainment,30.062992,51,7585,0,7636,918325,7387906,0,8306231,h264,5000000,24,1920,1080,647708,145.165
49,1768.9417,mpeg4,176,144,56152,Music,12,354,20873,0,21227,1382103,11034284,0,12416387,h264,5000000,12,1280,720,311500,57.288
50,98.683334,mpeg4,176,144,55552,Gaming,12,20,1164,0,1184,48267,636993,0,685260,h264,5000000,24,1920,1080,637756,50.439
51,52.68,h264,480,360,372001,Autos & Vehicles,25,53,1265,0,1318,870136,1579497,0,2449633,h264,3000000,29.97,1920,1080,646380,147.901
52,448.575,vp8,1280,720,2052426,Sports,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,h264,539000,24,640,480,217080,21.765
53,176.901,vp8,480,360,26968,Film & Animation,25.113636,38,4382,0,4420,393395,202954,0,596349,mpeg4,242000,29.97,1280,720,218932,10.045
54,273.816,vp8,1920,1080,1571003,Autos & Vehicles,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,242000,25,1920,1080,649192,44.131
55,37.011665,h264,1280,720,2759449,Entertainment,29,21,1088,0,1109,1899633,10866846,0,12766479,mpeg4,3000000,24,1920,1080,219480,15.165
56,63.667,h264,640,480,972572,Music,15,33,923,0,956,1259657,6480438,0,7740095,h264,3000000,15,480,360,219656,17.913
57,52.68,h264,480,360,372001,Education,25,53,1265,0,1318,870136,1579497,0,2449633,h264,539000,24,480,360,155028,13.749
58,860.056,vp8,1280,720,2688309,Music,29.968605,277,25496,0,25773,12989828,276022270,0,289012098,vp8,3000000,29.97,480,360,262784,20.289
59,254.922,vp8,480,360,260667,People & Blogs,30.062992,51,7585,0,7636,918325,7387906,0,8306231,vp8,5000000,12,1280,720,221160,13.689
60,452.689,vp8,320,240,66680,Gaming,5.7057524,42,2537,0,2579,207037,3566163,0,3773200,vp8,242000,15,1280,720,248092,12.305
61,95.462,h264,640,480,809256,Entertainment,29,51,2811,0,2862,886496,8770159,0,9656655,vp8,820000,25,1920,1080,221160,40.363
62,167.39166,h264,1280,720,2207484,Music,24,86,3931,0,4017,4369420,41819887,0,46189307,vp8,5000000,24,640,480,219656,15.329
63,750.433,vp8,1280,720,794075,Entertainment,13.482667,81,10031,0,10112,3852576,70635013,0,74487589,h264,539000,12,1920,1080,667460,33.03
